slang 2.3.1a-1
smbclient 4.7.0-1
snappy 1.1.4-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
spandsp 0.0.6-1
speedtest-cli 1.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
spotify 1.0.59.395-1
sqlite 3.20.1-1
startup-notification 0.12-5
sublime-text 3143-1
sudo 1.8.21.p2-1
sysfsutils 2.1.0-9
syslog-ng 3.10.1-2
system-config-printer 1.5.9-3
systemd 234.11-9
systemd-sysvcompat 234.11-9
taglib 1.11.1-1
talloc 2.1.10-1
tar 1.29-2
tdb 1.3.15-1
terminus-font 4.46-1.1
tevent 1:0.9.33-1
texinfo 6.4-1
thin-provisioning-tools 0.7.2-1
timeset 1.5-4
tlp 1.0-1
toggldesktop 7.4.61-1
transmission-gtk 2.92-7
tre 0.8.0-4
tree 1.7.0-2
tslib 1.13-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-1
ttf-droid 20121017-5
ttf-font-icons 1.1-3
ttf-inconsolata 20151221.480630d-2
ttf-indic-otf 0.2-8
ttf-liberation 2.00.1-7
tzdata 2017b-1
udisks2 2.7.3-1
ufw 0.35-3
upower 0.99.6-1
urxvt-perls 2.2-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.30.2-1
v4l-utils 1.12.5-1
v86d 0.1.10-5
vertex-maia-themes 20170827-1
vi 1:070224-2
vibrancy-colors 2.7-2
vid.stab 1.1-1
videoproto 2.3.3-1
viewnior 1.6-3
vim 8.0.1159-1
vim-runtime 8.0.1159-1
visual-studio-code 1.17.2-1
vivaldi 1.11.917.43-1
vivaldi-ffmpeg-codecs 60.0.3112.90-1
vlc-nightly 3.0.0v20170923-1
volume_key 0.3.9-3
volumeicon 0.5.1-1
vpnc 0.5.3.svn550-2
vte-common 0.48.3-1
vte3 0.48.3-1
vulkan-icd-loader 1.0.61.1-1
vulkan-intel 17.2.2-0
w3m 0.5.3.git20170102-2
wavpack 5.1.0-1
wayland 1.14.0-1
wayland-protocols 1.10-1
webkit2gtk 2.16.6-1
webrtc-audio-processing 0.3-2
wget 1.19.1-2
which 2.21-2
wildmidi 0.4.1-1
wireless-regdb 2016.06.10-1
wireless_tools 30.pre9-1
wmutils 1.2.r2.g9372688-1
wpa_supplicant 1:2.6-8.1
wxgtk-common 3.0.3.1-9
wxgtk2 3.0.3.1-9
x265 2.5-1
xarchiver 0.5.4.11-1
xautolock 2.2-4
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xcursor-breeze 1.0-2
xcursor-chameleon-pearl 0.5-4
xcursor-maia 20160417-1
xdg-su 1.2.3-1
xdg-user-dirs 0.16-1
xdg-utils 1.1.2-1
xdotool 3.20160805.1-1
xextproto 7.3.0-1
xf86-input-elographics 1.4.1-7
xf86-input-evdev 2.10.5-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.26.0-1
xf86-input-mouse 1.9.2-3
xf86-input-void 1.4.1-3
xf86-video-intel 1:2.99.917+781+gc8990575-1
xf86-video-nouveau 1.0.15-2
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfburn 0.5.4-3
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfconf 4.12.1-4
xfsprogs 4.12.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.21-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.4-1
xorg-server-common 1.19.4-1
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.9-1
xorg-xauth 1.0.10-1
xorg-xdpyinfo 1.3.2-1
xorg-xinit 1.3.4-4
xorg-xkbcomp 1.4.0-1
xorg-xkill 1.0.4-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xproto 7.0.31-1
xsel 1.2.0.20160929-1
xterm 330-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.9-1
zathura 0.3.7-1
zd1211-firmware 1.5-1
zenity 3.24.0-1
zeromq 4.2.2-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-2
zsh 5.4.2-1
zvbi 0.2.35-1
